,uuid,Wave,Section,Row,Age,Gender,Tenure,Ovr_Sat,Team_Sat,Comm_Sat,Comm_Freq,Benefit_Aware
0,ca962bfc,1,446,D,45-54,Male,11-20 season,3,7,7,Too Few,Unaware
1,b0b208b7,1,315,HH,45-54,Male,2-5 season,8,9,6,Too Many,Unaware
2,e54d351c,1,183,J,25-34,Female,6-10 season,7,3,7,Too Many,Unaware
3,c62eeb63,1,143,M,55-64,Female,6-10 season,9,7,6,Too Many,Aware and have NOT used/received
4,1815ec0f,1,373,H,45-54,Female,11-15 season,8,5,7,Just Right,Unaware
5,c4e9058c,1,114,F,45-54,Male,11-15 season,10,1,4,Too Many,Unaware
6,2dfe12e8,1,528,A,45-54,Female,2-5 season,6,7,6,Too Few,Unaware
7,f26bbe4b,1,93,P,65+,Male,21+ seasons,10,10,10,Just Right,Aware and have NOT used/received
8,ecf3dc76,1,293,KK,55-64,Male,6-10 season,9,7,7,Just Right,Aware and have NOT used/received
9,813ed71f,1,121,M,45-54,Male,2-5 season,9,10,10,Just Right,Aware and have used/received
10,5bb78133,1,85,Q,Prefer not to answer,Prefer not to answer,21+ seasons,4,2,3,Too Few,Aware and have NOT used/received
11,97325ddc,1,443,GG,55-64,Female,2-5 season,8,6,7,Just Right,Aware and have NOT used/received
12,b37baa11,1,45,D,55-64,Female,2-5 season,9,3,6,Too Few,Aware and have NOT used/received
13,5f1dc4f2,1,389,V,55-64,Male,11-20 season,5,2,4,Just Right,Unaware
14,cbd1cc53,1,28,D,55-64,Male,6-10 season,10,3,3,Too Few,Aware and have NOT used/received
15,451424ca,1,434,C,65+,Female,11-20 season,8,7,9,Just Right,Unaware
16,e63d7718,1,318,R,25-34,Male,16-20 season,5,1,9,Just Right,Unaware
17,0cc29f25,1,122,LL,65+,Male,21+ seasons,8,8,8,Just Right,Aware and have NOT used/received
18,52bd7615,1,450,V,65+,Male,6-10 season,5,6,5,Too Few,Unaware
19,95ce63a4,1,104,Q,65+,Male,2-5 season,9,8,3,Too Few,Aware and have NOT used/received
20,dcb01035,1,99,K,35-44,Female,2-5 season,10,3,3,Just Right,Aware and have NOT used/received
21,c9e5f4bf,1,312,LL,35-44,Female,2-5 season,6,6,10,Just Right,Unaware
22,5ecb978d,1,489,C,65+,Male,21+ seasons,1,7,2,Too Few,Unaware
23,def9bc84,1,121,V,35-44,Male,2-5 season,7,4,7,Too Many,Unaware
24,a65b0834,1,40,V,55-64,Male,21+ seasons,6,3,2,Too Few,Unaware
25,ab965586,1,174,T,55-64,Female,11-20 season,8,9,8,Just Right,Aware and have NOT used/received
26,60158c09,1,506,U,65+,Male,21+ seasons,8,7,7,Just Right,Aware and have NOT used/received
27,4198b7f8,1,6,M,45-54,Male,2-5 season,2,8,6,Too Many,Unaware
28,e0afa614,1,429,P,55-64,Male,21+ seasons,8,6,7,Just Right,Unaware
29,f4b27464,1,531,C,55-64,Male,6-10 season,5,6,4,Too Few,Unaware
30,0c04ac72,1,14,G,45-54,Male,6-10 season,9,7,9,Just Right,Aware and have NOT used/received
31,7180cdba,1,66,U,55-64,Male,21+ seasons,8,7,6,Too Few,Aware and have NOT used/received
32,98135103,1,15,B,45-54,Male,11-20 season,5,1,8,Just Right,Aware and have NOT used/received
33,5a1cf6ab,1,418,T,65+,Male,21+ seasons,8,8,8,Just Right,Aware and have NOT used/received
34,7d6c723d,1,475,R,65+,Male,21+ seasons,3,2,1,Too Few,Aware and have NOT used/received
35,ad24cb3e,1,244,G,65+,Male,21+ seasons,6,3,6,Just Right,Aware and have NOT used/received
36,c5a98705,1,491,R,25-34,Male,2-5 season,7,1,1,Too Many,Aware and have NOT used/received
37,134dfa0d,1,417,K,55-64,Female,21+ seasons,10,10,10,Just Right,Aware and have NOT used/received
38,c597561b,1,512,OO,35-44,Female,2-5 season,1,10,4,Too Many,Aware and have used/received
39,1d2f3f6f,1,222,B,35-44,Male,2-5 season,7,7,8,Just Right,Unaware
